Unique,Hartlepool,Hartlepool,Hartlepool,Hartlepool,Hartlepool,Middlesbrough,Middlesbrough,Middlesbrough,Middlesbrough,Middlesbrough,Redcar and Cleveland,Redcar and Cleveland,Redcar and Cleveland,Redcar and Cleveland,Redcar and Cleveland,Stockton-on-Tees,Stockton-on-Tees,Stockton-on-Tees,Stockton-on-Tees,Stockton-on-Tees,Darlington,Darlington,Darlington,Darlington,Darlington,Halton,Halton,Halton,Halton,Halton,Warrington,Warrington,Warrington,Warrington,Warrington,Blackburn with Darwen,Blackburn with Darwen,Blackburn with Darwen,Blackburn with Darwen,Blackburn with Darwen,Blackpool,Blackpool,Blackpool,Blackpool,Blackpool,"Kingston upon Hull, City of","Kingston upon Hull, City of","Kingston upon Hull, City of","Kingston upon Hull, City of","Kingston upon Hull, City of",East Riding of Yorkshire,East Riding of Yorkshire,East Riding of Yorkshire,East Riding of Yorkshire,East Riding of Yorkshire,North East Lincolnshire,North East Lincolnshire,North East Lincolnshire,North East Lincolnshire,North East Lincolnshire,North Lincolnshire,North Lincolnshire,North Lincolnshire,North Lincolnshire,North Lincolnshire,York,York,York,York,York,Derby,Derby,Derby,Derby,Derby,Leicester,Leicester,Leicester,Leicester,Leicester,Rutland,Rutland,Rutland,Rutland,Rutland,Nottingham,Nottingham,Nottingham,Nottingham,Nottingham,"Herefordshire, County of","Herefordshire, County of","Herefordshire, County of","Herefordshire, County of","Herefordshire, County of",Telford and Wrekin,Telford and Wrekin,Telford and Wrekin,Telford and Wrekin,Telford and Wrekin,Stoke-on-Trent,Stoke-on-Trent,Stoke-on-Trent,Stoke-on-Trent,Stoke-on-Trent,Bath and North East Somerset,Bath and North East Somerset,Bath and North East Somerset,Bath and North East Somerset,Bath and North East Somerset,"Bristol, City of","Bristol, City of","Bristol, City of","Bristol, City of","Bristol, City of",North Somerset,North Somerset,North Somerset,North Somerset,North Somerset,South Gloucestershire,South Gloucestershire,South Gloucestershire,South Gloucestershire,South Gloucestershire,Plymouth,Plymouth,Plymouth,Plymouth,Plymouth,Torbay,Torbay,Torbay,Torbay,Torbay,Swindon,Swindon,Swindon,Swindon,Swindon,Peterborough,Peterborough,Peterborough,Peterborough,Peterborough,Luton,Luton,Luton,Luton,Luton,Southend-on-Sea,Southend-on-Sea,Southend-on-Sea,Southend-on-Sea,Southend-on-Sea,Thurrock,Thurrock,Thurrock,Thurrock,Thurrock,Medway,Medway,Medway,Medway,Medway,Bracknell Forest,Bracknell Forest,Bracknell Forest,Bracknell Forest,Bracknell Forest,West Berkshire,West Berkshire,West Berkshire,West Berkshire,West Berkshire,Reading,Reading,Reading,Reading,Reading,Slough,Slough,Slough,Slough,Slough,Windsor and Maidenhead,Windsor and Maidenhead,Windsor and Maidenhead,Windsor and Maidenhead,Windsor and Maidenhead,Wokingham,Wokingham,Wokingham,Wokingham,Wokingham,Milton Keynes,Milton Keynes,Milton Keynes,Milton Keynes,Milton Keynes,Brighton and Hove,Brighton and Hove,Brighton and Hove,Brighton and Hove,Brighton and Hove,Portsmouth,Portsmouth,Portsmouth,Portsmouth,Portsmouth,Southampton,Southampton,Southampton,Southampton,Southampton,Isle of Wight,Isle of Wight,Isle of Wight,Isle of Wight,Isle of Wight,County Durham,County Durham,County Durham,County Durham,County Durham,Cheshire East,Cheshire East,Cheshire East,Cheshire East,Cheshire East,Cheshire West and Chester,Cheshire West and Chester,Cheshire West and Chester,Cheshire West and Chester,Cheshire West and Chester,Shropshire,Shropshire,Shropshire,Shropshire,Shropshire,Cornwall,Cornwall,Cornwall,Cornwall,Cornwall,Isles of Scilly,Isles of Scilly,Isles of Scilly,Isles of Scilly,Isles of Scilly,Wiltshire,Wiltshire,Wiltshire,Wiltshire,Wiltshire,Bedford,Bedford,Bedford,Bedford,Bedford,Central Bedfordshire,Central Bedfordshire,Central Bedfordshire,Central Bedfordshire,Central Bedfordshire,Northumberland,Northumberland,Northumberland,Northumberland,Northumberland,"Bournemouth, Christchurch and Poole","Bournemouth, Christchurch and Poole","Bournemouth, Christchurch and Poole","Bournemouth, Christchurch and Poole","Bournemouth, Christchurch and Poole",Dorset,Dorset,Dorset,Dorset,Dorset,Buckinghamshire,Buckinghamshire,Buckinghamshire,Buckinghamshire,Buckinghamshire,North Northamptonshire,North Northamptonshire,North Northamptonshire,North Northamptonshire,North Northamptonshire,West Northamptonshire,West Northamptonshire,West Northamptonshire,West Northamptonshire,West Northamptonshire,Bolton,Bolton,Bolton,Bolton,Bolton,Bury,Bury,Bury,Bury,Bury,Manchester,Manchester,Manchester,Manchester,Manchester,Oldham,Oldham,Oldham,Oldham,Oldham,Rochdale,Rochdale,Rochdale,Rochdale,Rochdale,Salford,Salford,Salford,Salford,Salford,Stockport,Stockport,Stockport,Stockport,Stockport,Tameside,Tameside,Tameside,Tameside,Tameside,Trafford,Trafford,Trafford,Trafford,Trafford,Wigan,Wigan,Wigan,Wigan,Wigan,Knowsley,Knowsley,Knowsley,Knowsley,Knowsley,Liverpool,Liverpool,Liverpool,Liverpool,Liverpool,St. Helens,St. Helens,St. Helens,St. Helens,St. Helens,Sefton,Sefton,Sefton,Sefton,Sefton,Wirral,Wirral,Wirral,Wirral,Wirral,Barnsley,Barnsley,Barnsley,Barnsley,Barnsley,Doncaster,Doncaster,Doncaster,Doncaster,Doncaster,Rotherham,Rotherham,Rotherham,Rotherham,Rotherham,Sheffield,Sheffield,Sheffield,Sheffield,Sheffield,Newcastle upon Tyne,Newcastle upon Tyne,Newcastle upon Tyne,Newcastle upon Tyne,Newcastle upon Tyne,North Tyneside,North Tyneside,North Tyneside,North Tyneside,North Tyneside,South Tyneside,South Tyneside,South Tyneside,South Tyneside,South Tyneside,Sunderland,Sunderland,Sunderland,Sunderland,Sunderland,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Coventry,Coventry,Coventry,Coventry,Coventry,Dudley,Dudley,Dudley,Dudley,Dudley,Sandwell,Sandwell,Sandwell,Sandwell,Sandwell,Solihull,Solihull,Solihull,Solihull,Solihull,Walsall,Walsall,Walsall,Walsall,Walsall,Wolverhampton,Wolverhampton,Wolverhampton,Wolverhampton,Wolverhampton,Bradford,Bradford,Bradford,Bradford,Bradford,Calderdale,Calderdale,Calderdale,Calderdale,Calderdale,Kirklees,Kirklees,Kirklees,Kirklees,Kirklees,Leeds,Leeds,Leeds,Leeds,Leeds,Wakefield,Wakefield,Wakefield,Wakefield,Wakefield,Gateshead,Gateshead,Gateshead,Gateshead,Gateshead,City of London,City of London,City of London,City of London,City of London,Barking and Dagenham,Barking and Dagenham,Barking and Dagenham,Barking and Dagenham,Barking and Dagenham,Barnet,Barnet,Barnet,Barnet,Barnet,Bexley,Bexley,Bexley,Bexley,Bexley,Brent,Brent,Brent,Brent,Brent,Bromley,Bromley,Bromley,Bromley,Bromley,Camden,Camden,Camden,Camden,Camden,Croydon,Croydon,Croydon,Croydon,Croydon,Ealing,Ealing,Ealing,Ealing,Ealing,Enfield,Enfield,Enfield,Enfield,Enfield,Greenwich,Greenwich,Greenwich,Greenwich,Greenwich,Hackney,Hackney,Hackney,Hackney,Hackney,Hammersmith and Fulham,Hammersmith and Fulham,Hammersmith and Fulham,Hammersmith and Fulham,Hammersmith and Fulham,Haringey,Haringey,Haringey,Haringey,Haringey,Harrow,Harrow,Harrow,Harrow,Harrow,Havering,Havering,Havering,Havering,Havering,Hillingdon,Hillingdon,Hillingdon,Hillingdon,Hillingdon,Hounslow,Hounslow,Hounslow,Hounslow,Hounslow,Islington,Islington,Islington,Islington,Islington,Kensington and Chelsea,Kensington and Chelsea,Kensington and Chelsea,Kensington and Chelsea,Kensington and Chelsea,Kingston upon Thames,Kingston upon Thames,Kingston upon Thames,Kingston upon Thames,Kingston upon Thames,Lambeth,Lambeth,Lambeth,Lambeth,Lambeth,Lewisham,Lewisham,Lewisham,Lewisham,Lewisham,Merton,Merton,Merton,Merton,Merton,Newham,Newham,Newham,Newham,Newham,Redbridge,Redbridge,Redbridge,Redbridge,Redbridge,Richmond upon Thames,Richmond upon Thames,Richmond upon Thames,Richmond upon Thames,Richmond upon Thames,Southwark,Southwark,Southwark,Southwark,Southwark,Sutton,Sutton,Sutton,Sutton,Sutton,Tower Hamlets,Tower Hamlets,Tower Hamlets,Tower Hamlets,Tower Hamlets,Waltham Forest,Waltham Forest,Waltham Forest,Waltham Forest,Waltham Forest,Wandsworth,Wandsworth,Wandsworth,Wandsworth,Wandsworth,Westminster,Westminster,Westminster,Westminster,Westminster,Cambridgeshire,Cambridgeshire,Cambridgeshire,Cambridgeshire,Cambridgeshire,Cumbria,Cumbria,Cumbria,Cumbria,Cumbria,Derbyshire,Derbyshire,Derbyshire,Derbyshire,Derbyshire,Devon,Devon,Devon,Devon,Devon,East Sussex,East Sussex,East Sussex,East Sussex,East Sussex,Essex,Essex,Essex,Essex,Essex,Gloucestershire,Gloucestershire,Gloucestershire,Gloucestershire,Gloucestershire,Hampshire,Hampshire,Hampshire,Hampshire,Hampshire,Hertfordshire,Hertfordshire,Hertfordshire,Hertfordshire,Hertfordshire,Kent,Kent,Kent,Kent,Kent,Lancashire,Lancashire,Lancashire,Lancashire,Lancashire,Leicestershire,Leicestershire,Leicestershire,Leicestershire,Leicestershire,Lincolnshire,Lincolnshire,Lincolnshire,Lincolnshire,Lincolnshire,Norfolk,Norfolk,Norfolk,Norfolk,Norfolk,North Yorkshire,North Yorkshire,North Yorkshire,North Yorkshire,North Yorkshire,Nottinghamshire,Nottinghamshire,Nottinghamshire,Nottinghamshire,Nottinghamshire,Oxfordshire,Oxfordshire,Oxfordshire,Oxfordshire,Oxfordshire,Somerset,Somerset,Somerset,Somerset,Somerset,Staffordshire,Staffordshire,Staffordshire,Staffordshire,Staffordshire,Suffolk,Suffolk,Suffolk,Suffolk,Suffolk,Surrey,Surrey,Surrey,Surrey,Surrey,Warwickshire,Warwickshire,Warwickshire,Warwickshire,Warwickshire,West Sussex,West Sussex,West Sussex,West Sussex,West Sussex,Worcestershire,Worcestershire,Worcestershire,Worcestershire,Worcestershire,Isle of Anglesey,Isle of Anglesey,Isle of Anglesey,Isle of Anglesey,Isle of Anglesey,Gwynedd,Gwynedd,Gwynedd,Gwynedd,Gwynedd,Conwy,Conwy,Conwy,Conwy,Conwy,Denbighshire,Denbighshire,Denbighshire,Denbighshire,Denbighshire,Flintshire,Flintshire,Flintshire,Flintshire,Flintshire,Wrexham,Wrexham,Wrexham,Wrexham,Wrexham,Ceredigion,Ceredigion,Ceredigion,Ceredigion,Ceredigion,Pembrokeshire,Pembrokeshire,Pembrokeshire,Pembrokeshire,Pembrokeshire,Carmarthenshire,Carmarthenshire,Carmarthenshire,Carmarthenshire,Carmarthenshire,Swansea,Swansea,Swansea,Swansea,Swansea,Neath Port Talbot,Neath Port Talbot,Neath Port Talbot,Neath Port Talbot,Neath Port Talbot,Bridgend,Bridgend,Bridgend,Bridgend,Bridgend,Vale of Glamorgan,Vale of Glamorgan,Vale of Glamorgan,Vale of Glamorgan,Vale of Glamorgan,Cardiff,Cardiff,Cardiff,Cardiff,Cardiff,Rhondda Cynon Taf,Rhondda Cynon Taf,Rhondda Cynon Taf,Rhondda Cynon Taf,Rhondda Cynon Taf,Caerphilly,Caerphilly,Caerphilly,Caerphilly,Caerphilly,Blaenau Gwent,Blaenau Gwent,Blaenau Gwent,Blaenau Gwent,Blaenau Gwent,Torfaen,Torfaen,Torfaen,Torfaen,Torfaen,Monmouthshire,Monmouthshire,Monmouthshire,Monmouthshire,Monmouthshire,Newport,Newport,Newport,Newport,Newport,Powys,Powys,Powys,Powys,Powys,Merthyr Tydfil,Merthyr Tydfil,Merthyr Tydfil,Merthyr Tydfil,Merthyr Tydfil
Average,135812.4666,135812.4666,135812.4666,135812.4666,135812.4666,143658.2619,143658.2619,143658.2619,143658.2619,143658.2619,139082.778,139082.778,139082.778,139082.778,139082.778,177457.2493,177457.2493,177457.2493,177457.2493,177457.2493,161999.1167,161999.1167,161999.1167,161999.1167,161999.1167,176444.3516,176444.3516,176444.3516,176444.3516,176444.3516,245841.0646,245841.0646,245841.0646,245841.0646,245841.0646,176948.038,176948.038,176948.038,176948.038,176948.038,130557.6397,130557.6397,130557.6397,130557.6397,130557.6397,260771.6512,260771.6512,260771.6512,260771.6512,260771.6512,207393.8313,207393.8313,207393.8313,207393.8313,207393.8313,136434.7387,136434.7387,136434.7387,136434.7387,136434.7387,162585.4947,162585.4947,162585.4947,162585.4947,162585.4947,314505.1405,314505.1405,314505.1405,314505.1405,314505.1405,198081.2046,198081.2046,198081.2046,198081.2046,198081.2046,207405.8857,207405.8857,207405.8857,207405.8857,207405.8857,313529.2544,313529.2544,313529.2544,313529.2544,313529.2544,221201.0582,221201.0582,221201.0582,221201.0582,221201.0582,400813.6367,400813.6367,400813.6367,400813.6367,400813.6367,182661.943,182661.943,182661.943,182661.943,182661.943,147358.9989,147358.9989,147358.9989,147358.9989,147358.9989,432289.0161,432289.0161,432289.0161,432289.0161,432289.0161,333367.5588,333367.5588,333367.5588,333367.5588,333367.5588,283339.1395,283339.1395,283339.1395,283339.1395,283339.1395,310098.6681,310098.6681,310098.6681,310098.6681,310098.6681,228459.0288,228459.0288,228459.0288,228459.0288,228459.0288,229424.9557,229424.9557,229424.9557,229424.9557,229424.9557,245750.7587,245750.7587,245750.7587,245750.7587,245750.7587,231853.9668,231853.9668,231853.9668,231853.9668,231853.9668,251296.8322,251296.8322,251296.8322,251296.8322,251296.8322,286643.1074,286643.1074,286643.1074,286643.1074,286643.1074,331189.3003,331189.3003,331189.3003,331189.3003,331189.3003,250587.8815,250587.8815,250587.8815,250587.8815,250587.8815,500638.5792,500638.5792,500638.5792,500638.5792,500638.5792,487576.8554,487576.8554,487576.8554,487576.8554,487576.8554,401260.165,401260.165,401260.165,401260.165,401260.165,435270.6912,435270.6912,435270.6912,435270.6912,435270.6912,710357.5317,710357.5317,710357.5317,710357.5317,710357.5317,477717.9863,477717.9863,477717.9863,477717.9863,477717.9863,327274.0382,327274.0382,327274.0382,327274.0382,327274.0382,413506.4739,413506.4739,413506.4739,413506.4739,413506.4739,252926.0914,252926.0914,252926.0914,252926.0914,252926.0914,348394.1229,348394.1229,348394.1229,348394.1229,348394.1229,233882.6691,233882.6691,233882.6691,233882.6691,233882.6691,140147.028,140147.028,140147.028,140147.028,140147.028,274913.0905,274913.0905,274913.0905,274913.0905,274913.0905,251683.0681,251683.0681,251683.0681,251683.0681,251683.0681,251904.5517,251904.5517,251904.5517,251904.5517,251904.5517,267415.7881,267415.7881,267415.7881,267415.7881,267415.7881,374828.3448,374828.3448,374828.3448,374828.3448,374828.3448,316404.1089,316404.1089,316404.1089,316404.1089,316404.1089,333828.6299,333828.6299,333828.6299,333828.6299,333828.6299,357363.9586,357363.9586,357363.9586,357363.9586,357363.9586,209474.776,209474.776,209474.776,209474.776,209474.776,283838.5713,283838.5713,283838.5713,283838.5713,283838.5713,330604.0046,330604.0046,330604.0046,330604.0046,330604.0046,495185.7319,495185.7319,495185.7319,495185.7319,495185.7319,237926.4129,237926.4129,237926.4129,237926.4129,237926.4129,346192.8641,346192.8641,346192.8641,346192.8641,346192.8641,180651.9957,180651.9957,180651.9957,180651.9957,180651.9957,174010.6605,174010.6605,174010.6605,174010.6605,174010.6605,272349.8611,272349.8611,272349.8611,272349.8611,272349.8611,149654.6645,149654.6645,149654.6645,149654.6645,149654.6645,166686.7609,166686.7609,166686.7609,166686.7609,166686.7609,200572.1505,200572.1505,200572.1505,200572.1505,200572.1505,264439.188,264439.188,264439.188,264439.188,264439.188,148480.5723,148480.5723,148480.5723,148480.5723,148480.5723,336358.05,336358.05,336358.05,336358.05,336358.05,156111.1548,156111.1548,156111.1548,156111.1548,156111.1548,154428.6736,154428.6736,154428.6736,154428.6736,154428.6736,181772.2138,181772.2138,181772.2138,181772.2138,181772.2138,150879.2337,150879.2337,150879.2337,150879.2337,150879.2337,201762.391,201762.391,201762.391,201762.391,201762.391,193474.9772,193474.9772,193474.9772,193474.9772,193474.9772,139605.2436,139605.2436,139605.2436,139605.2436,139605.2436,164642.7994,164642.7994,164642.7994,164642.7994,164642.7994,172651.7977,172651.7977,172651.7977,172651.7977,172651.7977,247700.9649,247700.9649,247700.9649,247700.9649,247700.9649,229044.1404,229044.1404,229044.1404,229044.1404,229044.1404,187409.0087,187409.0087,187409.0087,187409.0087,187409.0087,148052.3211,148052.3211,148052.3211,148052.3211,148052.3211,146649.056,146649.056,146649.056,146649.056,146649.056,251830.8611,251830.8611,251830.8611,251830.8611,251830.8611,201051.045,201051.045,201051.045,201051.045,201051.045,185343.1554,185343.1554,185343.1554,185343.1554,185343.1554,165406.0577,165406.0577,165406.0577,165406.0577,165406.0577,349199.9348,349199.9348,349199.9348,349199.9348,349199.9348,191985.411,191985.411,191985.411,191985.411,191985.411,170841.8553,170841.8553,170841.8553,170841.8553,170841.8553,160899.08,160899.08,160899.08,160899.08,160899.08,182805.0928,182805.0928,182805.0928,182805.0928,182805.0928,170515.7648,170515.7648,170515.7648,170515.7648,170515.7648,234081.1634,234081.1634,234081.1634,234081.1634,234081.1634,170940.5659,170940.5659,170940.5659,170940.5659,170940.5659,177604.0974,177604.0974,177604.0974,177604.0974,177604.0974,6828867.576,6828867.576,6828867.576,6828867.576,6828867.576,312383.1275,312383.1275,312383.1275,312383.1275,312383.1275,652271.9238,652271.9238,652271.9238,652271.9238,652271.9238,376968.4594,376968.4594,376968.4594,376968.4594,376968.4594,679926.4162,679926.4162,679926.4162,679926.4162,679926.4162,570900.4882,570900.4882,570900.4882,570900.4882,570900.4882,1464200.279,1464200.279,1464200.279,1464200.279,1464200.279,446637.1774,446637.1774,446637.1774,446637.1774,446637.1774,928263.1128,928263.1128,928263.1128,928263.1128,928263.1128,488454.8948,488454.8948,488454.8948,488454.8948,488454.8948,505129.025,505129.025,505129.025,505129.025,505129.025,772976.07,772976.07,772976.07,772976.07,772976.07,1021593.947,1021593.947,1021593.947,1021593.947,1021593.947,644851.5993,644851.5993,644851.5993,644851.5993,644851.5993,574239.6992,574239.6992,574239.6992,574239.6992,574239.6992,392454.9731,392454.9731,392454.9731,392454.9731,392454.9731,544681.7443,544681.7443,544681.7443,544681.7443,544681.7443,662988.633,662988.633,662988.633,662988.633,662988.633,882766.3509,882766.3509,882766.3509,882766.3509,882766.3509,2196349.744,2196349.744,2196349.744,2196349.744,2196349.744,662103.0672,662103.0672,662103.0672,662103.0672,662103.0672,658333.9484,658333.9484,658333.9484,658333.9484,658333.9484,490055.831,490055.831,490055.831,490055.831,490055.831,651911.9372,651911.9372,651911.9372,651911.9372,651911.9372,421161.1188,421161.1188,421161.1188,421161.1188,421161.1188,471865.6199,471865.6199,471865.6199,471865.6199,471865.6199,844574.6991,844574.6991,844574.6991,844574.6991,844574.6991,834655.2036,834655.2036,834655.2036,834655.2036,834655.2036,428602.1212,428602.1212,428602.1212,428602.1212,428602.1212,592488.1127,592488.1127,592488.1127,592488.1127,592488.1127,487932.5379,487932.5379,487932.5379,487932.5379,487932.5379,861109.8633,861109.8633,861109.8633,861109.8633,861109.8633,2465001.42,2465001.42,2465001.42,2465001.42,2465001.42,346694.6149,346694.6149,346694.6149,346694.6149,346694.6149,194963.2019,194963.2019,194963.2019,194963.2019,194963.2019,218409.2303,218409.2303,218409.2303,218409.2303,218409.2303,292666.6885,292666.6885,292666.6885,292666.6885,292666.6885,307870.3584,307870.3584,307870.3584,307870.3584,307870.3584,372368.173,372368.173,372368.173,372368.173,372368.173,324457.6578,324457.6578,324457.6578,324457.6578,324457.6578,374744.9142,374744.9142,374744.9142,374744.9142,374744.9142,470360.3732,470360.3732,470360.3732,470360.3732,470360.3732,333292.634,333292.634,333292.634,333292.634,333292.634,187350.3693,187350.3693,187350.3693,187350.3693,187350.3693,239708.7183,239708.7183,239708.7183,239708.7183,239708.7183,206873.4499,206873.4499,206873.4499,206873.4499,206873.4499,261054.7776,261054.7776,261054.7776,261054.7776,261054.7776,262791.2585,262791.2585,262791.2585,262791.2585,262791.2585,200279.3552,200279.3552,200279.3552,200279.3552,200279.3552,462675.2215,462675.2215,462675.2215,462675.2215,462675.2215,276744.0846,276744.0846,276744.0846,276744.0846,276744.0846,225687.025,225687.025,225687.025,225687.025,225687.025,294662.4975,294662.4975,294662.4975,294662.4975,294662.4975,555550.4759,555550.4759,555550.4759,555550.4759,555550.4759,316440.6603,316440.6603,316440.6603,316440.6603,316440.6603,395339.4473,395339.4473,395339.4473,395339.4473,395339.4473,270965.9339,270965.9339,270965.9339,270965.9339,270965.9339,202618.6555,202618.6555,202618.6555,202618.6555,202618.6555,184433.9484,184433.9484,184433.9484,184433.9484,184433.9484,177624.4333,177624.4333,177624.4333,177624.4333,177624.4333,174848.2427,174848.2427,174848.2427,174848.2427,174848.2427,191417.6006,191417.6006,191417.6006,191417.6006,191417.6006,179009.7189,179009.7189,179009.7189,179009.7189,179009.7189,203143.1092,203143.1092,203143.1092,203143.1092,203143.1092,195520.5289,195520.5289,195520.5289,195520.5289,195520.5289,161032.6787,161032.6787,161032.6787,161032.6787,161032.6787,176849.0454,176849.0454,176849.0454,176849.0454,176849.0454,139792.9225,139792.9225,139792.9225,139792.9225,139792.9225,162116.1455,162116.1455,162116.1455,162116.1455,162116.1455,247441.4665,247441.4665,247441.4665,247441.4665,247441.4665,280251.3672,280251.3672,280251.3672,280251.3672,280251.3672,134992.1188,134992.1188,134992.1188,134992.1188,134992.1188,145605.3977,145605.3977,145605.3977,145605.3977,145605.3977,105248.6878,105248.6878,105248.6878,105248.6878,105248.6878,147120.4632,147120.4632,147120.4632,147120.4632,147120.4632,284736.9104,284736.9104,284736.9104,284736.9104,284736.9104,220677.4452,220677.4452,220677.4452,220677.4452,220677.4452,205333.8177,205333.8177,205333.8177,205333.8177,205333.8177,116891.9733,116891.9733,116891.9733,116891.9733,116891.9733
Detached,261,261,261,261,261,359,359,359,359,359,380,380,380,380,380,787,787,787,787,787,294,294,294,294,294,370,370,370,370,370,674,674,674,674,674,241,241,241,241,241,155,155,155,155,155,258,258,258,258,258,1896,1896,1896,1896,1896,537,537,537,537,537,910,910,910,910,910,509,509,509,509,509,807,807,807,807,807,356,356,356,356,356,264,264,264,264,264,556,556,556,556,556,1328,1328,1328,1328,1328,887,887,887,887,887,569,569,569,569,569,594,594,594,594,594,269,269,269,269,269,898,898,898,898,898,890,890,890,890,890,412,412,412,412,412,590,590,590,590,590,764,764,764,764,764,784,784,784,784,784,218,218,218,218,218,366,366,366,366,366,311,311,311,311,311,480,480,480,480,480,387,387,387,387,387,591,591,591,591,591,172,172,172,172,172,101,101,101,101,101,458,458,458,458,458,795,795,795,795,795,985,985,985,985,985,378,378,378,378,378,116,116,116,116,116,415,415,415,415,415,860,860,860,860,860,1572,1572,1572,1572,1572,2139,2139,2139,2139,2139,1597,1597,1597,1597,1597,1859,1859,1859,1859,1859,3379,3379,3379,3379,3379,1,1,1,1,1,2445,2445,2445,2445,2445,691,691,691,691,691,1141,1141,1141,1141,1141,1438,1438,1438,1438,1438,928,928,928,928,928,2740,2740,2740,2740,2740,2310,2310,2310,2310,2310,1643,1643,1643,1643,1643,1330,1330,1330,1330,1330,624,624,624,624,624,485,485,485,485,485,282,282,282,282,282,358,358,358,358,358,454,454,454,454,454,356,356,356,356,356,862,862,862,862,862,387,387,387,387,387,454,454,454,454,454,826,826,826,826,826,267,267,267,267,267,452,452,452,452,452,454,454,454,454,454,611,611,611,611,611,744,744,744,744,744,813,813,813,813,813,1049,1049,1049,1049,1049,823,823,823,823,823,987,987,987,987,987,370,370,370,370,370,490,490,490,490,490,205,205,205,205,205,494,494,494,494,494,1136,1136,1136,1136,1136,431,431,431,431,431,824,824,824,824,824,364,364,364,364,364,759,759,759,759,759,579,579,579,579,579,504,504,504,504,504,1027,1027,1027,1027,1027,434,434,434,434,434,1223,1223,1223,1223,1223,1746,1746,1746,1746,1746,1327,1327,1327,1327,1327,256,256,256,256,256,0,0,0,0,0,13,13,13,13,13,284,284,284,284,284,155,155,155,155,155,71,71,71,71,71,618,618,618,618,618,40,40,40,40,40,431,431,431,431,431,77,77,77,77,77,122,122,122,122,122,64,64,64,64,64,7,7,7,7,7,8,8,8,8,8,33,33,33,33,33,156,156,156,156,156,292,292,292,292,292,298,298,298,298,298,62,62,62,62,62,5,5,5,5,5,7,7,7,7,7,175,175,175,175,175,26,26,26,26,26,31,31,31,31,31,92,92,92,92,92,11,11,11,11,11,95,95,95,95,95,135,135,135,135,135,26,26,26,26,26,212,212,212,212,212,6,6,6,6,6,24,24,24,24,24,34,34,34,34,34,12,12,12,12,12,3079,3079,3079,3079,3079,1873,1873,1873,1873,1873,3924,3924,3924,3924,3924,4610,4610,4610,4610,4610,2549,2549,2549,2549,2549,6452,6452,6452,6452,6452,2823,2823,2823,2823,2823,5960,5960,5960,5960,5960,2586,2586,2586,2586,2586,5180,5180,5180,5180,5180,4194,4194,4194,4194,4194,4191,4191,4191,4191,4191,5568,5568,5568,5568,5568,5592,5592,5592,5592,5592,3098,3098,3098,3098,3098,4671,4671,4671,4671,4671,2458,2458,2458,2458,2458,2740,2740,2740,2740,2740,4128,4128,4128,4128,4128,3868,3868,3868,3868,3868,4411,4411,4411,4411,4411,2496,2496,2496,2496,2496,3552,3552,3552,3552,3552,3062,3062,3062,3062,3062,453,453,453,453,453,505,505,505,505,505,712,712,712,712,712,529,529,529,529,529,798,798,798,798,798,511,511,511,511,511,419,419,419,419,419,739,739,739,739,739,1036,1036,1036,1036,1036,747,747,747,747,747,384,384,384,384,384,535,535,535,535,535,555,555,555,555,555,567,567,567,567,567,525,525,525,525,525,412,412,412,412,412,88,88,88,88,88,281,281,281,281,281,600,600,600,600,600,653,653,653,653,653,771,771,771,771,771,148,148,148,148,148
